"FullAddress", "Speed"
"120.52.73.125:8081","112"
"120.52.73.125:8082","114"
"120.52.73.125:8086","126"
"120.52.73.125:8087","113"
"120.52.73.125:8088","115"
"120.52.73.125:8089","106"
"120.52.73.125:8091","107"
"120.52.73.125:8093","107"
"120.52.73.125:8094","114"
"120.52.73.125:90","109"
"120.52.73.126:100","109"
"120.52.73.126:80","115"
"120.52.73.126:8080","110"
"120.52.73.126:8081","114"
"120.52.73.126:8082","112"
"120.52.73.126:8083","108"
"120.52.73.126:8087","109"
"120.52.73.126:8088","109"
"120.52.73.126:8090","109"
"120.52.73.126:8091","112"
"120.52.73.126:8092","110"
"120.52.73.126:8093","113"
"120.52.73.126:8094","112"
"120.52.73.126:8100","111"
"120.52.73.126:90","110"
"120.52.73.127:100","100"
"120.52.73.127:80","106"
"120.52.73.127:8080","101"
"120.52.73.127:8081","109"
"120.52.73.127:8082","112"
"120.52.73.127:8083","100"
"120.52.73.127:8086","106"
"120.52.73.127:8087","99"
"120.52.73.127:8088","106"
"120.52.73.127:8089","106"
"120.52.73.127:8090","104"
"120.52.73.127:8091","106"
"120.52.73.127:8092","100"
"120.52.73.127:8093","100"
"120.52.73.127:8094","105"
"120.52.73.127:8100","110"
"120.52.73.127:90","98"
"120.52.73.128:80","105"
"120.52.73.128:8080","100"
"120.52.73.128:8100","101"
"120.52.73.129:100","114"
"120.52.73.129:80","118"
"120.52.73.129:8080","110"
"120.52.73.129:8081","116"
"120.52.73.129:8082","121"
"120.52.73.129:8083","114"
"120.52.73.129:8086","114"
"120.52.73.129:8087","119"
"120.52.73.129:8088","110"
"120.52.73.129:8089","114"
"120.52.73.129:8090","109"
"120.52.73.129:8092","108"
"120.52.73.129:8093","115"
"120.52.73.129:8094","107"
"120.52.73.129:8100","107"
"120.52.73.130:100","117"
"120.52.73.130:80","113"
"120.52.73.130:8080","115"
"120.52.73.130:8081","120"
"120.52.73.130:8082","120"
"120.52.73.130:8083","113"
"120.52.73.130:8086","117"
"120.52.73.130:8087","119"
"120.52.73.130:8088","115"
"120.52.73.130:8089","117"
"120.52.73.130:8091","116"
"120.52.73.130:8092","115"
"120.52.73.130:8093","112"
"120.52.73.130:8094","113"
"120.52.73.130:90","118"
"120.52.73.131:100","107"
"120.52.73.131:80","104"
"120.52.73.131:8080","106"
"120.52.73.131:8081","101"
"120.52.73.131:8082","107"
"120.52.73.131:8083","101"
"120.52.73.131:8086","100"
"120.52.73.131:8087","101"
"120.52.73.131:8088","101"
"120.52.73.131:8089","105"
"120.52.73.131:8090","107"
"120.52.73.131:8091","102"
"120.52.73.131:8092","105"
"120.52.73.131:8093","103"
"120.52.73.131:8100","104"
"120.52.73.131:90","100"
"120.52.73.132:8091","104"
"120.52.73.133:8088","113"
"120.52.73.134:100","111"
"120.52.73.134:80","115"
"120.52.73.134:8080","117"
"120.52.73.134:8081","115"
"120.52.73.134:8082","115"
"120.52.73.134:8083","114"
"120.52.73.134:8086","111"
"120.52.73.134:8087","113"
"120.52.73.134:8088","115"
"120.52.73.134:8089","111"
"120.52.73.134:8090","114"
"120.52.73.134:8091","113"
"120.52.73.134:8092","111"
"120.52.73.134:8093","112"
"120.52.73.134:8094","115"
"120.52.73.134:8100","115"
"120.52.73.134:90","110"
"120.52.73.135:8083","105"
"120.52.73.135:8088","101"
"120.52.73.136:80","100"
"120.52.73.136:8087","101"
"120.52.73.136:8089","102"
"120.52.73.136:8090","98"
"120.52.73.137:8081","123"
"120.52.73.137:8091","111"
"120.52.73.138:100","118"
"120.52.73.138:80","116"
"120.52.73.138:8080","111"
"120.52.73.138:8081","112"
"120.52.73.138:8082","116"
"120.52.73.138:8083","118"
"120.52.73.138:8086","115"
"120.52.73.138:8087","115"
"120.52.73.138:8088","117"
"120.52.73.138:8089","118"
"120.52.73.138:8090","117"
"120.52.73.138:8091","112"
"120.52.73.138:8092","115"
"120.52.73.138:8093","115"
"120.52.73.138:8094","112"
"120.52.73.138:8100","117"
"120.52.73.138:90","114"
"120.52.73.139:100","105"
"120.52.73.139:80","106"
"120.52.73.139:8080","102"
"120.52.73.139:8081","101"
"120.52.73.139:8082","104"
"120.52.73.139:8083","104"
"120.52.73.139:8086","116"
"120.52.73.139:8087","106"
"120.52.73.139:8088","105"
"120.52.73.139:8089","104"
"120.52.73.139:8090","101"
"120.52.73.139:8091","107"
"120.52.73.139:8092","102"
"120.52.73.139:8093","114"
"120.52.73.139:8094","100"
"120.52.73.139:90","101"
"120.52.73.140:8083","103"
"120.52.73.140:8088","102"
"120.52.73.141:100","115"
"120.52.73.141:80","113"
"120.52.73.141:8080","114"
"120.52.73.141:8081","115"
"120.52.73.141:8083","114"
"120.52.73.141:8086","117"
"120.52.73.141:8088","114"
"120.52.73.141:8089","116"
"120.52.73.141:8090","115"
"120.52.73.141:8091","126"
"120.52.73.141:8092","113"
"120.52.73.141:8094","112"
"120.52.73.141:8100","113"
"120.52.73.142:100","114"
"120.52.73.142:80","116"
"120.52.73.142:8080","121"
"120.52.73.142:8081","113"
"120.52.73.142:8082","114"
"120.52.73.142:8083","112"
"120.52.73.142:8086","112"
"120.52.73.142:8087","112"
"120.52.73.142:8088","113"
"120.52.73.142:8089","112"
"120.52.73.142:8090","135"
"120.52.73.142:8091","111"
"120.52.73.142:8092","114"
"120.52.73.142:8093","113"
"120.52.73.142:8094","127"
"120.52.73.142:8100","112"
"120.52.73.142:90","124"
"120.52.73.144:80","111"
"120.52.73.144:8080","114"
"120.52.73.144:8081","105"
"120.52.73.144:8082","104"
"120.52.73.144:8090","131"
"120.52.73.144:8091","112"
"120.52.73.145:80","114"
"120.52.73.145:8080","114"
"120.52.73.145:8082","107"
"120.52.73.145:8089","114"
"120.52.73.146:80","114"
"120.52.73.146:8080","116"
"120.52.73.146:8082","125"
"120.52.73.146:8083","113"
"120.52.73.146:8087","116"
"120.52.73.23:8086","108"
"120.52.73.24:100","104"
"120.52.73.24:80","104"
"120.52.73.24:8080","104"
"120.52.73.24:8081","106"
"120.52.73.24:8082","104"
"120.52.73.24:8083","104"
"120.52.73.24:8086","105"
"120.52.73.24:8087","107"
"120.52.73.24:8089","102"
"120.52.73.24:8090","103"
"120.52.73.24:8091","103"
"120.52.73.24:8092","105"
"120.52.73.24:8093","104"
"120.52.73.24:8094","105"
"120.52.73.24:8100","104"
"120.52.73.24:90","104"
"120.52.73.25:100","109"
"120.52.73.25:80","116"
"120.52.73.25:8080","115"
"120.52.73.25:8081","114"
"120.52.73.25:8082","108"
"120.52.73.25:8083","107"
"120.52.73.25:8086","107"
"120.52.73.25:8087","115"
"120.52.73.25:8088","108"
"120.52.73.25:8089","108"
"120.52.73.25:8090","107"
"120.52.73.25:8091","115"
"120.52.73.25:8092","118"
"120.52.73.25:8093","114"
"120.52.73.25:8094","108"
"120.52.73.25:8100","121"
"120.52.73.25:90","107"
"120.52.73.26:100","112"
"120.52.73.26:80","114"
"120.52.73.26:8080","114"
"120.52.73.26:8081","112"
"120.52.73.26:8082","111"
"120.52.73.26:8083","110"
"120.52.73.26:8086","115"
"120.52.73.26:8087","111"
"120.52.73.26:8088","114"
"120.52.73.26:8089","118"
"120.52.73.26:8090","109"
"120.52.73.26:8091","114"
"120.52.73.26:8092","111"
"120.52.73.26:8093","110"
"120.52.73.26:8094","112"
"120.52.73.26:90","112"
"120.52.73.27:80","102"
"120.52.73.27:8080","105"
"120.52.73.27:8081","107"
"120.52.73.28:100","102"
"120.52.73.28:80","104"
"120.52.73.28:8080","95"
"120.52.73.28:8081","101"
"120.52.73.28:8082","102"
"120.52.73.28:8083","102"
"120.52.73.28:8086","103"
"120.52.73.28:8087","94"
"120.52.73.28:8088","104"
"120.52.73.28:8089","102"
"120.52.73.28:8090","97"
"120.52.73.28:8092","102"
"120.52.73.28:8093","102"
"120.52.73.28:8100","95"
"120.52.73.28:90","94"
"120.52.73.29:100","117"
"120.52.73.29:80","116"
"120.52.73.29:8080","114"
"120.52.73.29:8081","115"
"120.52.73.29:8082","116"
"120.52.73.29:8083","114"
"120.52.73.29:8086","116"
"120.52.73.29:8087","116"
"120.52.73.29:8088","117"
"120.52.73.29:8089","115"
"120.52.73.29:8090","116"
"120.52.73.29:8091","116"
"120.52.73.29:8092","117"
"120.52.73.29:8093","116"
"120.52.73.29:8094","115"
"120.52.73.29:8100","115"
"120.52.73.29:90","115"
"120.52.73.30:100","120"
"120.52.73.30:80","113"
"120.52.73.30:8080","113"
"120.52.73.30:8081","120"
"120.52.73.30:8082","112"
"120.52.73.30:8083","115"
"120.52.73.30:8086","115"
"120.52.73.30:8087","114"
"120.52.73.30:8088","113"
"120.52.73.30:8089","111"
"120.52.73.30:8090","114"
"120.52.73.30:8091","112"
"120.52.73.30:8092","115"
"120.52.73.30:8093","112"
"120.52.73.30:8094","114"
"120.52.73.30:8100","113"
"120.52.73.30:90","114"
"120.52.73.31:100","98"
"120.52.73.31:80","99"
"120.52.73.31:8080","103"
"120.52.73.31:8081","106"
"120.52.73.31:8082","105"
"120.52.73.31:8083","97"
"120.52.73.31:8086","103"
"120.52.73.31:8088","105"
"120.52.73.31:8089","105"
"120.52.73.31:8090","98"
"120.52.73.31:8091","98"
"120.52.73.31:8092","101"
"120.52.73.31:8093","98"
"120.52.73.31:8094","98"
"120.52.73.31:8100","98"
"120.52.73.31:90","98"
"120.52.73.32:100","100"
"120.52.73.32:80","98"
"120.52.73.32:8080","108"
"120.52.73.32:8081","105"
"120.52.73.32:8082","99"
"120.52.73.32:8083","99"
"120.52.73.32:8086","100"
"120.52.73.32:8087","109"
"120.52.73.32:8088","99"
"120.52.73.32:8089","100"
"120.52.73.32:8090","109"
"120.52.73.32:8091","106"
"120.52.73.32:8092","99"
"120.52.73.32:8093","105"
"120.52.73.32:8094","98"
"120.52.73.32:8100","100"
"120.52.73.32:90","107"
"120.52.73.33:100","114"
"120.52.73.33:80","115"
"120.52.73.33:8080","109"
"120.52.73.33:8083","108"
"120.52.73.33:8086","119"
"120.52.73.33:8088","110"
"120.52.73.33:8090","108"
"120.52.73.33:8091","117"
"120.52.73.33:8092","115"
"120.52.73.33:8093","114"
"120.52.73.33:8094","107"
"120.52.73.33:8100","116"
"120.52.73.33:90","111"
"120.52.73.34:8081","111"
"120.52.73.95:100","113"
"120.52.73.95:80","113"
"120.52.73.95:8080","110"
"120.52.73.95:8081","109"
"120.52.73.95:8082","99"
"120.52.73.95:8083","98"
"120.52.73.95:8086","106"
"120.52.73.95:8087","101"
"120.52.73.95:8088","112"
"120.52.73.95:8089","105"
"120.52.73.95:8090","112"
"120.52.73.95:8091","107"
"120.52.73.95:8092","113"
"120.52.73.95:8093","114"
"120.52.73.95:8094","97"
"120.52.73.95:8100","118"
"120.52.73.95:90","108"
"120.52.73.96:8080","139"
"120.52.73.99:100","108"
"120.52.73.99:80","105"
"120.52.73.99:8080","107"
"120.52.73.99:8081","102"
"120.52.73.99:8083","106"
"120.52.73.99:8087","109"
"120.52.73.99:8089","108"
"120.52.73.99:8090","103"
"120.52.73.99:8091","104"
"120.52.73.99:8092","107"
"120.52.73.99:8094","104"
"120.52.73.99:90","107"
"120.6.154.22:8888","166"
"120.84.223.41:8888","162"
"121.201.28.185:8088","68855"
"121.40.203.107:8088","15609"
"121.40.47.87:443","2621"
"121.69.22.6:8118","439"
"121.69.25.58:8118","3179"
"121.69.35.174:8118","664"
"122.94.184.232:8118","189"
"123.165.70.209:8888","190"
"123.171.235.16:8888","9143"
"123.173.37.94:8888","167"
"123.179.62.7:8888","169"
"123.206.93.94:80","34417"
"123.232.227.123:8118","221"
"123.5.2.143:8888","139"
"123.56.110.227:8080","416"
"123.57.48.140:8080","385"
"123.65.159.41:8888","112"
"123.8.230.104:8888","104"
"124.120.195.219:8080","10537"
"124.127.71.43:8888","3213"
"124.130.64.57:8888","192"
"124.133.230.254:80","116"
"124.133.240.88:8080","123"
"124.202.180.6:8118","511"
"124.202.223.202:8118","9141"
"125.212.217.215:80","185727"
"125.43.238.196:8888","138"
"125.65.112.201:8008","7036"
"139.196.29.94:8888","4216"
"139.59.197.227:666","429"
"14.158.166.178:8888","296"
"14.218.222.137:8888","121"
"144.12.236.172:8888","179"
"142.0.128.219:8088","421"
"142.0.128.220:8088","608"
"142.0.128.217:8088","4648"
"146.52.84.73:8080","15813"
"161.202.226.194:8080","706"
"161.202.226.194:80","2182"
"162.243.49.58:8080","739"
"159.8.114.37:8123","24556"
"163.54.70.3:80","3196"
"162.249.56.207:80","10311"
"169.57.1.84:8080","493"
"169.57.1.84:8123","481"
"159.8.114.37:80","48486"
"173.192.128.238:8080","635"
"173.192.128.238:8123","1925"
"173.192.21.89:8080","477"
"173.192.21.89:8123","474"
"175.5.148.33:8888","123"
"177.55.178.70:8080","3608"
"178.62.85.68:666","654"
"177.87.241.226:8080","11551"
"180.127.111.86:8118","16094"
"180.175.2.180:8118","15937"
"182.200.23.184:8888","161"
"182.38.248.72:8888","144"
"182.254.218.141:80","436"
"182.42.136.68:8888","387"
"182.71.121.179:80","22137"
"182.71.121.181:80","18860"
"183.111.169.202:8080","242"
"183.111.169.203:8080","228"
"183.111.169.204:8080","566"
"183.245.146.241:8080","4562"
"183.129.178.14:8080","24501"
"183.7.95.139:8888","138"
"183.91.33.42:80","83"
"183.91.33.42:8080","83"
"183.91.33.42:8083","81"
"183.91.33.42:8081","361"
"183.91.33.42:8084","82"
"183.91.33.42:8088","83"
"183.91.33.42:8089","82"
"183.91.33.42:8090","82"
"183.91.33.43:8080","72"
"183.91.33.43:8081","73"
"183.91.33.43:8083","72"
"183.91.33.43:8084","71"
"183.91.33.43:8087","72"
"183.91.33.43:80","3067"
"183.91.33.43:8088","545"
"183.91.33.43:8089","73"
"183.91.33.43:8090","308"
"183.91.33.43:90","72"
"183.91.33.44:80","76"
"183.91.33.44:8080","75"
"183.91.33.44:8081","75"
"183.91.33.44:8083","76"
"183.91.33.44:8084","75"
"183.91.33.44:8087","75"
"183.91.33.44:8088","75"
"183.91.33.44:8089","76"
"183.91.33.44:8090","92"
"183.91.33.44:90","75"
"183.91.33.76:80","74"
"183.91.33.76:8080","75"
"183.91.33.76:8081","72"
"183.91.33.76:8083","74"
"183.91.33.76:8087","77"
"183.91.33.76:8088","76"
"183.91.33.76:8084","787"
"183.91.33.76:8089","548"
"183.91.33.76:8090","76"
"183.91.33.76:90","72"
"183.95.19.48:8888","135"
"185.4.255.171:80","6079"
"190.0.131.108:80","43787"
"198.100.30.236:80","592"
"198.100.30.237:80","536"
"198.100.30.238:80","568"
"198.100.31.196:80","560"
"198.100.31.190:80","1369"
"198.100.31.56:80","604"
"198.100.31.60:80","1813"
"198.56.248.231:8888","2147"
"200.255.122.170:8080","1758"
"201.7.183.135:8080","7449"
"202.153.130.214:80","7961"
"209.141.54.254:8080","1711"
"210.245.25.228:8080","1377"
"202.159.42.246:80","19207"
"218.205.76.131:80","111"
"218.205.76.138:80","110"
"218.205.76.139:80","115"
"218.205.76.142:80","105"
"218.205.76.175:80","86"
"218.205.76.176:80","129"
"218.205.80.13:80","86"
"218.205.80.4:80","101"
"218.244.149.184:8888","1798"
"221.218.31.32:8888","159"
"222.140.61.110:8888","100"
"222.160.131.96:8888","184"
"221.134.239.213:80","11693"
"222.211.65.72:8080","7"
"222.45.85.53:8118","722"
"222.59.161.12:8118","5367"
"223.158.31.32:8888","3148"
"223.199.63.103:8888","391"
"223.202.20.221:443","110"
"223.99.254.112:8080","81"
"223.99.254.99:80","82"
"27.184.22.248:8888","153"
"27.199.30.153:8888","166"
"27.216.85.140:8888","135"
"27.9.63.204:8888","3087"
"37.255.254.15:8080","2231"
"217.128.175.129:80","113268"
"42.118.216.219:8080","564"
"42.202.55.16:8888","168"
"42.55.135.208:8888","172"
"46.101.120.250:80","7659"
"23.88.238.61:80","77183"
"47.88.104.219:80","1452"
"47.88.192.53:8081","4691"
"47.89.19.25:8080","607"
"46.101.36.66:2015","18706"
"5.101.173.158:8080","1280"
"47.88.20.62:8088","9014"
"52.36.84.86:8083","1398"
"52.53.187.112:8083","1450"
"54.173.104.38:8083","800"
"54.193.6.179:8083","601"
"52.10.66.120:80","17329"
"54.201.223.151:8083","5134"
"54.67.117.173:8083","595"
"54.201.4.120:8083","7580"
"54.201.7.212:8083","1641"
"58.59.18.88:8080","108"
"58.248.171.100:80","807"
"58.59.8.72:8080","204"
"60.160.248.71:8888","366"
"60.173.30.103:8888","108"
"60.211.14.116:8888","176"
"60.4.198.85:8888","180"
"60.5.152.187:8888","9164"
"61.168.11.25:8080","92"
"62.219.95.13:8080","728"
"49.51.8.149:8080","61830"
"64.62.233.67:80","17086"
"81.19.87.8:80","778"
"81.19.87.9:80","1839"
"91.121.132.52:8080","3657"
"85.9.129.74:80","12836"
"89.238.67.133:80","13186"
"1.0.250.113:8080","862"
"93.63.142.144:80","8850"
"94.23.154.236:80","8758"
"82.198.197.62:80","36738"
"101.71.90.182:80","84"
"101.71.90.183:80","87"
"103.252.110.46:8080","8944"
"104.199.170.17:8080","316"
"103.22.139.90:8080","42572"
"106.75.128.90:80","100"
"107.180.64.121:8080","743"
"109.167.97.218:8080","3740"
"104.131.137.117:53","39187"
"104.207.204.206:80","23684"
"109.70.190.131:8080","7102"
"105.229.106.238:8080","28497"
"109.75.40.242:8080","12223"
"110.77.221.79:8080","842"
"111.11.122.7:80","111"
"111.206.81.248:80","113"
"110.77.225.145:8080","36068"
"112.101.80.171:9797","294"
"111.84.229.144:8080","1466"
"112.112.70.116:80","156"
"112.112.70.118:80","153"
"112.112.70.115:80","1064"
"112.16.2.84:80","123"
"113.108.67.59:8080","180"
"113.161.68.146:8080","1335"
"113.200.250.110:80","111"
"113.200.250.110:8080","90"
"113.180.79.127:8080","10882"
"113.254.254.11:80","1248"
"113.255.210.67:80","2402"
"113.66.62.50:9797","10507"
"113.10.214.213:3123","43906"
"115.238.154.11:80","84"
"115.238.154.12:80","93"
"113.253.246.60:80","42931"
"115.87.240.98:8080","5706"
"115.70.208.154:8080","38177"
"116.211.19.201:8008","49285"
"114.57.31.210:8080","198268"
"118.180.15.152:8102","83"
"118.175.220.112:8080","33476"
"119.1.170.3:80","632"
"119.110.71.86:8080","5273"
"119.255.9.93:80","107"
"120.28.45.202:8090","2357"
"120.52.72.19:80","112"
"120.52.72.20:80","108"
"120.52.72.21:80","100"
"120.52.72.22:80","102"
"120.52.72.23:80","116"
"120.52.72.24:80","112"
"120.52.72.24:9011","112"
"120.52.72.47:80","114"
"120.52.72.47:9011","114"
"120.52.72.48:80","114"
"120.52.72.48:9011","106"
"120.52.72.52:80","112"
"120.52.72.53:80","103"
"120.52.72.54:80","114"
"120.52.72.55:80","114"
"120.52.72.56:80","110"
"120.52.72.58:80","115"
"120.52.72.59:80","111"
"121.42.177.31:8080","150"
"122.142.77.84:80","169"
"122.142.77.84:8080","158"
"122.147.24.103:8080","3931"
"122.225.106.36:80","38335"
"122.225.107.145:80","60080"
"122.225.106.35:80","87291"
"123.56.28.196:8888","97"
"123.65.217.151:9797","6408"
"124.206.133.227:80","1232"
"124.244.77.129:80","94"
"125.253.96.212:8080","14715"
"128.199.133.160:60000","785"
"128.199.179.85:25","1903"
"128.199.185.164:8080","1621"
"128.199.38.158:80","525"
"128.199.239.94:25","2594"
"128.199.196.85:60000","3789"
"128.199.64.137:8080","780"
"128.199.78.87:60000","11016"
"128.199.93.114:7166","792"
"128.199.89.222:80","4487"
"128.199.88.117:8080","25378"
"130.14.29.111:80","729"
"130.14.29.110:80","5972"
"130.14.29.120:80","1074"
"138.255.100.47:8080","7017"
"139.196.155.138:80","84"
"134.249.139.239:8080","33967"
"139.228.114.128:8080","2940"
"145.255.15.37:8080","4145"
"149.56.134.33:8888","696"
"149.56.134.34:8888","710"
"151.58.51.40:8085","10058"
"159.203.2.1:8888","515"
"158.69.196.86:25","7179"
"161.139.251.106:9000","1478"
"162.243.133.13:8080","612"
"163.172.46.143:8888","736"
"162.223.88.243:80","24741"
"160.202.41.202:8080","72684"
"168.1.47.248:8080","5110"
"175.25.176.49:80","141"
"175.101.8.46:8090","20055"
"176.106.145.122:8080","6009"
"176.241.110.50:8080","826"
"176.31.96.198:8080","3761"
"176.34.225.229:80","1536"
"177.134.118.84:8080","2595"
"177.134.253.187:8080","3492"
"177.126.81.243:8080","72287"
"177.85.7.139:8080","10812"
"177.91.67.252:80","7532"
"178.213.130.235:8080","11936"
"177.41.146.164:8080","159794"
"179.176.40.52:8080","2699"
"178.48.1.117:8080","41173"
"179.126.28.161:8080","27891"
"180.248.149.40:9999","476"
"181.168.149.181:8080","7368"
"181.211.145.226:8080","823"
"181.197.4.211:80","7914"
"181.64.185.73:8080","1043"
"182.253.16.114:8080","13004"
"182.253.36.250:8080","1236"
"182.52.236.125:8080","5879"
"182.61.9.177:80","3260"
"183.237.18.56:9797","3890"
"183.245.147.24:80","162"
"183.60.200.171:8080","93"
"183.60.200.171:8888","92"
"183.62.118.147:8080","100"
"183.62.118.148:8080","92"
"183.62.118.144:8080","9090"
"185.126.176.83:8888","1514"
"185.28.193.95:8080","874"
"185.40.150.3:8080","19815"
"185.54.238.176:80","2010"
"185.54.238.176:8080","5097"
"185.61.183.246:8080","8143"
"185.81.96.101:8080","25891"
"185.84.107.19:8080","27625"
"186.251.164.250:8080","73843"
"187.150.209.79:8080","1787"
"187.17.196.57:8080","4916"
"187.188.251.132:8080","27129"
"188.166.184.118:8888","3331"
"188.244.185.94:8080","54167"
"190.100.186.151:80","3776"
"190.112.41.176:9999","5905"
"190.120.4.228:8080","859"
"190.121.158.114:8080","39731"
"190.204.3.101:8080","1045"
"190.236.32.178:80","27481"
"190.29.22.247:8080","31094"
"191.7.213.181:8080","38344"
"192.155.252.228:8080","1318"
"192.241.140.203:8080","761"
"193.200.83.243:8080","88060"
"195.113.196.29:80","689"
"195.178.56.32:8080","26374"
"195.3.254.78:8080","68589"
"196.44.185.109:8080","5780"
"197.149.179.181:8888","751"
"197.220.198.110:8080","36026"
