Name,Address,Phone Number,BBB Rating,Hours,General Info,Other Links
Foothill Water,CA Tujunga 7065 Foothill Blvd,(818) 951-9868,0,,,
C J Water & Delivery,CA La Crescenta 3918 Foothill Blvd,(818) 541-1887,0,"Mon - Fri 9:00 am - 6:00 pm, Sat - Sun 9:00 am - 4:00 pm",,
Sparkletts Water,CA Los Angeles 4500 York Blvd Bldg C,(888) 204-4881,0,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Sparkletts Water,CA Van Nuys 7817 Haskell Ave,(888) 983-5390,0,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Aqua Pura,CA Burbank 10970 Sherman Way # 109,(818) 565-0122,0,Mon - Sun 9:00 am - 8:00 pm,,
Glendale City Treasurer,CA Glendale 141 N Glendale Ave Ste 450,(818) 548-2066,0,"March 1-24 (Tues, Wed, Thurs, 10am-12pm) - Armenian Computer Workshops March 5 (Sat, from 10am-12pm) - Introductory Word March 12 (Sat, from 10am-12pm) - Intermediate Word March 19 (Sat, from 10am-12pm) - Excel April 5-28 (Tues, Wed, Thurs, from 9-11am) - Computer Club for Beginners April 16 (Sat, f",,
Central Water,CA Glendale 715 S Central Ave Ste C,(818) 553-3853,0,,,
Water for U,CA Glendale 730 S Central Ave,(818) 240-5458,0,,,
Pure Waterfall,CA Glendale 1109 E Chevy Chase Dr,(818) 550-1413,0,,,
Burbank Water & Power,CA Burbank 164 W Magnolia Blvd,(818) 238-3700,0,Mon - Fri 8:00 am - 5:00 pm,,
Kangen Water,CA Burbank 1307 N San Fernando Blvd,(818) 846-7351,0,,,
Crescenta Valley Water Dist,CA La Crescenta 2700 Foothill Blvd,(818) 248-3925,0,"Mon - Fri 8:00 am - 4:30 pm, Sat - Sun Closed",,
At Water World,CA Glendale 1101 W Glenoaks Blvd,(818) 549-9283,0,Mon - Sun 9:00 am - 9:00 pm,,
Highland Water and Ice,CA Glendale 834 W Glenoaks Blvd,(818) 240-7423,5,Mon - Fri 8:00 am - 4:30 pm,,
Hydra Blue Inc,CA La Crescenta 3857 Foothill Blvd Ste 16A,(818) 957-3600,0,,,
Water Store,CA La Crescenta 3918 Foothill Blvd,(818) 541-1887,0,"Mon - Sat 8:30 am - 7:30 pm, Sun 10:00 am - 5:00 pm",,
City-Glendale Water & Power,CA Glendale 800 Air Way,(818) 548-2011,0,Mon - Sun Open 24 Hours,,
Heghnar Akhbyur,CA Glendale 726 S Glendale Ave,(818) 244-7735,0,,,
Sparkletts Water,  ,(866) 204-0463,1.78,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Mountain Valley Water Co,  ,(800) 499-9982,4,Mon - Fri 8:30 am - 4:30 pm,,
Sparkletts Water,  ,(877) 247-0585,1.6,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Mountan Valley Water Co From Hot Springs Arkansas,CA Glendale ,(310) 837-6600,0,,,
Victory Water,CA Van Nuys 14110 Victory Blvd,(818) 989-2975,0,"Mon - Fri 9:00 am - 9:00 pm, Sat - Sun 9:00 am - 8:00 pm",,
Grand Canyon Drinking Water,CA Pacoima 10425 Laurel Canyon Blvd,(818) 899-8497,0,,,
Water Agua Plus,CA Panorama City 9501 Van Nuys Blvd Ste 109,(818) 830-3216,0,,,
Air2Water Solutions,CA Pasadena 79 Patrician Way,(818) 321-5490,0,,,
Seven Stars Water,CA Van Nuys 14907 Sherman Way,(818) 988-1321,0,,,
Wateria,CA Van Nuys 7074 Sepulveda Blvd,(818) 782-3055,0,"Mon - Fri 9:00 am - 6:00 pm, Sat - Sun Closed",,
Water Boy,CA Panorama City 15041 Roscoe Blvd,(818) 893-6730,0,,,
Yosemite Waters,CA Los Angeles 226 S Lake St 54,(323) 256-2265,5,,,
Pico Water,CA Los Angeles 2348 W Pico Blvd,(213) 487-7713,5,Mon - Sun 8:30 am - 8:00 pm,,
Fresca Water,CA Los Angeles 139 S Mednik Ave,(323) 260-4989,5,"Mon - Sat 9:30 am - 8:00 pm, Sun 10:30 am - 8:00 pm",,
Arrowhead Water Corp,CA Los Angeles 1584 E 20th St,(213) 763-1383,1,,,
Water Village,CA Los Angeles 3191 Glendale Blvd,(323) 913-9021,0,"Mon - Sat 10:00 am - 7:00 pm, Sun 10:00 am - 3:00 pm",,
Alkapuro,CA Los Angeles 4327 W Sunset Blvd,(323) 644-6967,0,"Mon - Fri 10:00 am - 9:00 pm, Sat 10:00 am - 7:00 pm, Sun 11:00 am - 6:00 pm",,
Water Gourmet,CA Los Angeles 3756 W Point Dr 40,(323) 256-2742,0,"Mon - Fri 8:30 am - 7:30 pm, Sat 8:30 am - 7:00 pm, Sun 9:00 am - 5:00 pm",,
L A Wilton Water,CA Los Angeles 5157 Melrose Ave,(323) 460-4136,0,,,
Water Loft,CA Los Angeles 1965 Outpost Cir,(323) 851-8026,0,,,
Elevate Brands,CA Los Angeles 5700 Melrose Ave Suite 402,(310) 954-1428,0,,,
Tony's Paradise,CA Los Angeles 2614 Pasadena Ave,(323) 223-8554,0,Mon - Fri 9:00 am - 5:00 pm,,
Drink Oxygen,CA Los Angeles 1710 N Fuller Ave,(323) 850-8089,0,,,
Gabriel Water & Ice,CA Los Angeles 3571 W 3rd St,(213) 380-0082,0,,,
Aqua Dolce Waters,CA Los Angeles 226 S Lake St 54,(323) 982-9708,0,,,
Sparkletts Water,CA Los Angeles 226 S Lake St 54,(323) 256-2265,0,,,
DS Waters Of America Inc,CA Los Angeles 1449 N Vista St 46,(323) 551-5724,0,,,
Claris Water Store,CA Los Angeles 2455 James M Wood Blvd,(213) 385-1413,0,Mon - Sun 8:00 am - 9:00 pm,,
Alka Source Purified Water,CA Los Angeles 3263 W 8th St,(213) 427-0320,0,Tue - Sat 10:30 am - 6:00 pm,,
Sparkletts Water,CA Los Angeles 226 S Hill St 54,(213) 550-3180,0,,,
Rubio Canyon Land & Water Association,CA Altadena 583 E Sacramento St,(626) 797-0509,0,"Mon - Thu 7:30 am - 4:00 pm, Fri - Sun Closed",,
Agua Pura,CA Sun Valley 8039 Vineland Ave,(818) 768-8640,0,Mon - Sun 9:00 am - 9:00 pm,,
"Name","Address","Phone Number","BBB Rating","Hours","General Info","Other Links"
